,Terminology,Rasul,Sharmila
273,quality score,1,1
274,queue A,0,0
275,unsupervised way,0,1
276,generation mode,1,0
277,phrasal recommendations,1,1
278,conditional probability,1,1
279,p yt,0,0
280,yt t,0,0
281,transfer learning,1,1
282,shallow fusion,1,1
283,middle position,0,0
284,consistent gains,1,1
285,syntactic analysis,1,1
286,source position,1,1
287,specific capacity,1,1
288,BLEU ACC,1,1
289,trial training,1,1
290,model capacity,1,1
291,bilingual translation,1,1
292,best performance,1,1
293,Es PTbr Fr,0,0
294,PTbr Fr Ru,0,0
295,Nl Ro Tr,0,0
296,Ro Tr De,0,0
297,Tr De Vi,0,0
298,Marginal Utility,1,1
299,BPE Sennrich,1,1
